Vehicle_Type,Licence_Number,Logging_Time
Car,55DK51I,11 42 39 
Car,55DK51I,11 45 23 
Car,,11:09:53 AM
Car,L73X8B4,14:47:48 PM
Car,L87BX34,14:47:49 PM
Car,XB734L8,14:47:50 PM
Car,XBL3847,14:47:51 PM
Car,BXL8743,14:47:52 PM
Car,L3XB748,14:47:53 PM
Car,XL7843B,14:47:55 PM
Car,X78BL43,14:47:56 PM
Car,XBL7843,14:47:57 PM
Car,L7438BX,14:47:58 PM
Car,L37X8B4,14:47:59 PM
Car,LXB7843,14:48:00 PM
Car,XB378L4,14:48:01 PM
Car,XL78B43,14:48:01 PM
Car,X78L4B3,14:48:02 PM
Car,XL7B834,14:48:03 PM
Car,LXB7834,14:48:04 PM
Car,LXB8743,14:48:05 PM
Car,LXB8734,14:48:06 PM
Car,XBL8743,14:48:07 PM
Car,XL7B834,14:48:08 PM
Car,XL738B4,14:48:09 PM
Car,XLB4378,14:48:10 PM
Car,XL8B473,14:48:11 PM
Car,LX7384B,14:48:12 PM
Car,LX738B4,14:48:13 PM
Car,LX738B4,14:48:14 PM
Car,XL7B843,14:48:14 PM
Car,XL78B43,14:48:15 PM
Car,LXB3487,14:48:16 PM
Car,LXB3748,14:48:17 PM
Car,XBL3487,14:48:18 PM
Car,L73B4X8,14:48:19 PM
Car,L73B4X8,14:48:20 PM
Car,LXB7843,14:48:21 PM
Car,XL74B38,14:48:22 PM
Car,L3BX748,14:48:23 PM
Car,XBL3487,14:48:24 PM
Car,XLB7348,14:48:24 PM
Car,L743XB8,14:48:25 PM
Car,XL7B483,14:48:26 PM
Car,XL78B34,14:48:27 PM
Car,LX7B483,14:48:28 PM
Car,L784B3X,14:48:29 PM
Car,7XB8L43,14:48:30 PM
Car,L784XB3,14:48:31 PM
Car,LX3478B,14:48:33 PM
Car,BX3L478,14:48:34 PM
Car,LX7348B,14:48:35 PM
Car,XL47B38,14:48:36 PM
Car,L7XB384,14:48:37 PM
Car,LX7483B,14:48:38 PM
Car,L7X348B,14:48:39 PM
Car,LX7438B,14:48:40 PM
,,19:18:01 PM
,,19:18:02 PM
Car,,19:18:02 PM
Car,,19:18:03 PM
Car,,19:18:04 PM
,,20:15:36 PM
,,20:15:36 PM
,,20:15:37 PM
,,20:15:37 PM
,,20:15:37 PM
,,10:56:24 AM
,,10:56:24 AM
,,10:56:24 AM
,,10:56:25 AM
,,10:56:25 AM
,,10:56:25 AM
,,10:56:26 AM
,,10:56:26 AM
,,10:56:27 AM
,,10:56:27 AM
,,10:56:27 AM
,,10:56:28 AM
,,10:56:28 AM
,,10:56:28 AM
,,10:56:29 AM
,,10:56:29 AM
,,10:56:29 AM
,,10:56:30 AM
,,10:56:30 AM
,,10:56:30 AM
,,10:56:31 AM
,,10:56:31 AM
,,10:56:31 AM
,,10:56:32 AM
,,10:56:32 AM
,,10:56:32 AM
,,10:56:33 AM
,,10:56:33 AM
,,10:56:33 AM
,,10:56:34 AM
,,10:56:34 AM
,,10:56:34 AM
,,10:56:35 AM
,,10:56:35 AM
,,10:56:35 AM
,,10:56:36 AM
,,10:56:36 AM
,,10:56:36 AM
,,10:56:37 AM
,,10:56:37 AM
,,10:56:37 AM
,,10:56:38 AM
,,10:56:38 AM
,,10:56:38 AM
,,10:56:39 AM
,,10:56:39 AM
,,10:56:40 AM
,,10:56:40 AM
,,10:56:41 AM
,,10:56:41 AM
,,10:56:42 AM
,,10:56:42 AM
,,10:56:43 AM
,,10:56:43 AM
,,10:56:43 AM
,,10:56:44 AM
,,10:56:44 AM
,,10:56:45 AM
,,10:56:45 AM
,,10:56:45 AM
,,10:56:46 AM
,,10:56:46 AM
,,10:56:46 AM
,,10:56:47 AM
,,10:56:47 AM
,,10:56:48 AM
,,10:56:48 AM
,,10:56:48 AM
,,10:56:49 AM
,,10:56:49 AM
,,10:56:49 AM
,,10:56:50 AM
,,10:56:50 AM
,,10:56:50 AM
,,10:56:51 AM
,,10:56:51 AM
,,10:56:52 AM
,,10:56:52 AM
,,10:56:52 AM
,,10:56:53 AM
,,10:56:53 AM
,,10:56:53 AM
,,10:56:54 AM
,,10:56:54 AM
,,10:56:54 AM
,,10:56:55 AM
,,10:56:55 AM
,,10:56:55 AM
,,10:56:56 AM
,,10:56:56 AM
,,10:56:57 AM
,,10:56:57 AM
,,10:56:57 AM
,,10:56:58 AM
,,10:56:58 AM
,,10:56:58 AM
,,10:56:59 AM
,,10:56:59 AM
,,10:57:00 AM
,,10:57:00 AM
,,10:57:00 AM
,,10:57:01 AM
,,10:57:01 AM
,,10:57:01 AM
,,10:57:02 AM
,,10:57:02 AM
,,10:57:02 AM
,,10:57:03 AM
,,10:57:03 AM
,,10:57:04 AM
,,10:57:04 AM
,,10:57:04 AM
,,10:57:05 AM
,,10:57:05 AM
,,10:57:05 AM
,,10:57:06 AM
,,10:57:06 AM
,,10:57:06 AM
,,10:57:07 AM
,,10:57:07 AM
,,10:57:07 AM
,,10:57:08 AM
,,10:57:08 AM
,,10:57:09 AM
,,10:57:09 AM
,,10:57:09 AM
,,10:57:10 AM
,,10:57:10 AM
,,10:57:10 AM
,,10:57:11 AM
,,10:57:11 AM
,,10:57:12 AM
,,10:57:12 AM
,,10:57:12 AM
,,10:57:13 AM
,,10:57:13 AM
,,10:57:13 AM
,,10:57:14 AM
,,10:57:14 AM
,,10:57:15 AM
,,10:57:15 AM
,,10:57:15 AM
,,10:57:16 AM
,,10:57:16 AM
,,10:57:16 AM
,,10:57:17 AM
,,10:57:17 AM
,,10:57:17 AM
,,10:57:18 AM
,,10:57:18 AM
,,10:57:19 AM
,,10:57:19 AM
,,10:57:19 AM
,,10:57:20 AM
,,10:57:20 AM
,,10:57:20 AM
,,10:57:21 AM
,,10:57:21 AM
,,10:57:22 AM
,,10:57:22 AM
,,10:57:22 AM
,,10:57:23 AM
,,10:57:23 AM
,,10:57:23 AM
,,10:57:24 AM
,,10:57:24 AM
,,10:57:25 AM
,,10:57:25 AM
,,10:57:25 AM
,,10:57:26 AM
,,10:57:26 AM
,,10:57:26 AM
,,10:57:27 AM
,,10:57:27 AM
,,10:57:28 AM
,,10:57:28 AM
,,10:57:28 AM
,,10:57:29 AM
,,10:57:29 AM
,,10:57:29 AM
,,10:57:30 AM
,,10:57:30 AM
,,10:57:31 AM
,,10:57:31 AM
,,10:57:31 AM
,,10:57:32 AM
,,10:57:32 AM
,,10:57:32 AM
,,10:57:33 AM
,,10:57:33 AM
,,10:57:34 AM
,,10:57:34 AM
,,10:57:34 AM
,,10:57:35 AM
,,10:57:35 AM
,,10:57:36 AM
,,10:57:36 AM
,,10:57:36 AM
,,10:57:37 AM
,,10:57:37 AM
,,10:57:38 AM
,,10:57:38 AM
